Channel,Constants,old,new,difference,in
14,ADC_I_MON_GAIN,-297390.0,-297185.0,0.07,%
14,ADC_I_MON_OFFSET,1467.0,1537.0,-70.0,abs
14,DAC_CURRENT_GAIN,665.0,669.0,-0.6,%
14,DAC_CURRENT_OFFSET,54.0,28.0,26.0,abs
15,DAC_VOLTAGE_GAIN,43851.0,43851.0,0,%
15,DAC_VOLTAGE_OFFSET,835.0,844.0,-9.0,abs
15,ADC_U_LOAD_GAIN,1818.0,1818.0,0,%
15,ADC_U_LOAD_OFFSET,-654.0,-658.0,4.0,abs
15,ADC_U_REGULATOR_GAIN,1808.0,1808.0,0,%
15,ADC_U_REGULATOR_OFFSET,-740.0,-736.0,-4.0,abs
15,ADC_I_MON_GAIN,-296073.0,-296283.0,-0.07,%
15,ADC_I_MON_OFFSET,-623.0,-638.0,15.0,abs
15,DAC_CURRENT_GAIN,-660.0,-663.0,-0.45,%
15,DAC_CURRENT_OFFSET,-53.0,-16.0,-37.0,abs
16,DAC_VOLTAGE_GAIN,-41555.0,-41556.0,-0.0,%
16,DAC_VOLTAGE_OFFSET,640522.0,640533.0,-11.0,abs
16,ADC_U_LOAD_GAIN,2756.0,2757.0,-0.04,%
16,ADC_U_LOAD_OFFSET,-540.0,-541.0,1.0,abs
16,ADC_U_REGULATOR_GAIN,3048.0,3048.0,0,%
16,ADC_U_REGULATOR_OFFSET,-579.0,-570.0,-9.0,abs
16,ADC_I_MON_GAIN,-295048.0,-295110.0,-0.02,%
16,ADC_I_MON_OFFSET,-36.0,-55.0,19.0,abs
16,DAC_CURRENT_GAIN,663.0,663.0,0,%
16,DAC_CURRENT_OFFSET,30.0,24.0,6.0,abs
17,DAC_VOLTAGE_GAIN,-41565.0,-41566.0,-0.0,%
17,DAC_VOLTAGE_OFFSET,640937.0,640949.0,-12.0,abs
17,ADC_U_LOAD_GAIN,2756.0,2756.0,0,%
17,ADC_U_LOAD_OFFSET,-597.0,-592.0,-5.0,abs
17,ADC_U_REGULATOR_GAIN,3047.0,3047.0,0,%
17,ADC_U_REGULATOR_OFFSET,-581.0,-588.0,7.0,abs
17,ADC_I_MON_GAIN,-295308.0,-295569.0,-0.09,%
17,ADC_I_MON_OFFSET,-1328.0,-1234.0,-94.0,abs
17,DAC_CURRENT_GAIN,662.0,661.0,0.15,%
17,DAC_CURRENT_OFFSET,-72.0,-54.0,-18.0,abs
18,DAC_VOLTAGE_GAIN,-41576.0,-41576.0,0,%
18,DAC_VOLTAGE_OFFSET,641118.0,641128.0,-10.0,abs
18,ADC_U_LOAD_GAIN,2756.0,2756.0,0,%
18,ADC_U_LOAD_OFFSET,-606.0,-599.0,-7.0,abs
18,ADC_U_REGULATOR_GAIN,3047.0,3047.0,0,%
18,ADC_U_REGULATOR_OFFSET,-660.0,-653.0,-7.0,abs
18,ADC_I_MON_GAIN,-295481.0,-295855.0,-0.13,%
18,ADC_I_MON_OFFSET,-1499.0,-1445.0,-54.0,abs
18,DAC_CURRENT_GAIN,656.0,657.0,-0.15,%
18,DAC_CURRENT_OFFSET,29.0,24.0,5.0,abs
19,DAC_VOLTAGE_GAIN,-41568.0,-41568.0,0,%
19,DAC_VOLTAGE_OFFSET,640795.0,640806.0,-11.0,abs
19,ADC_U_LOAD_GAIN,2756.0,2756.0,0,%
19,ADC_U_LOAD_OFFSET,-573.0,-574.0,1.0,abs
